# TinZr Multi Recording
# DateTime: 2025-12-18T22:03:37.807495
# Device: TinZrBlack
# Address: D8:85:AC:4E:38:6E
time_s,ax,ay,az,gx,gy,gz,red,ir,hr_bpm,spo2_pct,batt_pct
9.457588,-0.010000,-0.927000,0.406000,0.940000,-4.620000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
9.457588,-0.009000,-0.926000,0.407000,1.010000,-4.480000,-0.030000,0.000000,0.000000,0.00,0.00,83.00
9.457588,-0.008000,-0.926000,0.406000,1.260000,-4.720000,-0.210000,0.000000,0.000000,0.00,0.00,83.00
9.576209,-0.008000,-0.927000,0.406000,1.570000,-4.650000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
9.576209,-0.008000,-0.927000,0.406000,1.820000,-4.510000,-0.100000,0.000000,0.000000,0.00,0.00,83.00
9.576209,-0.007000,-0.927000,0.406000,1.990000,-4.650000,-0.140000,0.000000,0.000000,0.00,0.00,83.00
9.576209,-0.008000,-0.929000,0.407000,2.170000,-4.510000,0.100000,0.000000,0.000000,0.00,0.00,83.00
9.576209,-0.009000,-0.928000,0.408000,2.340000,-4.510000,0.100000,0.000000,0.000000,0.00,0.00,83.00
9.576209,-0.009000,-0.929000,0.409000,2.520000,-4.440000,0.170000,0.000000,0.000000,0.00,0.00,83.00
9.576209,-0.010000,-0.930000,0.407000,2.870000,-4.510000,0.070000,0.000000,0.000000,0.00,0.00,83.00
9.576209,-0.011000,-0.930000,0.411000,3.040000,-4.370000,0.140000,0.000000,0.000000,0.00,0.00,83.00
9.576209,-0.009000,-0.929000,0.410000,3.080000,-4.160000,0.140000,0.000000,0.000000,0.00,0.00,83.00
9.577315,-0.012000,-0.932000,0.409000,3.320000,-4.440000,0.030000,0.000000,0.000000,0.00,0.00,83.00
9.577315,-0.009000,-0.930000,0.412000,3.430000,-4.580000,-0.100000,0.000000,0.000000,0.00,0.00,83.00
9.577315,-0.010000,-0.931000,0.412000,3.320000,-4.230000,-0.070000,0.000000,0.000000,0.00,0.00,83.00
9.577315,-0.011000,-0.931000,0.412000,3.360000,-4.480000,-0.030000,0.000000,0.000000,0.00,0.00,83.00
9.577315,-0.011000,-0.932000,0.410000,3.430000,-4.650000,-0.380000,0.000000,0.000000,0.00,0.00,83.00
9.577315,-0.012000,-0.932000,0.414000,3.220000,-4.440000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
9.577315,-0.012000,-0.928000,0.412000,3.080000,-4.550000,-0.310000,0.000000,0.000000,0.00,0.00,83.00
9.577315,-0.011000,-0.930000,0.411000,3.040000,-4.720000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.577315,-0.010000,-0.925000,0.410000,2.940000,-4.650000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.578831,-0.008000,-0.927000,0.410000,2.900000,-4.580000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.578831,-0.009000,-0.927000,0.411000,2.940000,-4.440000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.578831,-0.008000,-0.927000,0.410000,3.110000,-4.550000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.578831,-0.007000,-0.928000,0.412000,3.180000,-4.410000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.578831,-0.008000,-0.930000,0.410000,3.360000,-4.160000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
9.578831,-0.008000,-0.927000,0.408000,3.740000,-4.130000,-0.420000,0.000000,0.000000,0.00,0.00,83.00
9.578831,-0.008000,-0.927000,0.410000,3.950000,-4.160000,-0.450000,0.000000,0.000000,0.00,0.00,83.00
9.578831,-0.010000,-0.926000,0.408000,4.130000,-3.950000,-0.310000,0.000000,0.000000,0.00,0.00,83.00
9.578831,-0.008000,-0.926000,0.407000,4.340000,-3.990000,-0.210000,0.000000,0.000000,0.00,0.00,83.00
9.579864,-0.010000,-0.926000,0.407000,4.440000,-4.160000,-0.280000,0.000000,0.000000,0.00,0.00,83.00
9.579864,-0.010000,-0.923000,0.407000,4.580000,-4.020000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
9.579864,-0.007000,-0.924000,0.408000,4.720000,-3.950000,-0.310000,0.000000,0.000000,0.00,0.00,83.00
9.579864,-0.010000,-0.924000,0.411000,4.830000,-4.160000,-0.420000,0.000000,0.000000,0.00,0.00,83.00
9.579864,-0.009000,-0.924000,0.411000,4.790000,-4.060000,-0.280000,0.000000,0.000000,0.00,0.00,83.00
9.579864,-0.009000,-0.927000,0.411000,4.790000,-3.850000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
9.579864,-0.008000,-0.926000,0.413000,4.900000,-3.990000,-0.210000,0.000000,0.000000,0.00,0.00,83.00
9.579864,-0.009000,-0.924000,0.412000,4.930000,-3.950000,-0.100000,0.000000,0.000000,0.00,0.00,83.00
9.579864,-0.010000,-0.923000,0.413000,4.830000,-3.920000,-0.100000,0.000000,0.000000,0.00,0.00,83.00
9.636143,-0.010000,-0.922000,0.411000,4.830000,-3.920000,-0.070000,0.000000,0.000000,0.00,0.00,83.00
9.636143,-0.010000,-0.921000,0.411000,4.760000,-4.060000,-0.070000,0.000000,0.000000,0.00,0.00,83.00
9.636143,-0.009000,-0.921000,0.412000,4.480000,-4.130000,-0.100000,0.000000,0.000000,0.00,0.00,83.00
